Код материала;PRODH0;Иерархия 1 уровня;Иерархия 2 уровня;PRDHA;Количество в ПЕИ
000000000000000003;925;10330;1033001100;103300110001100;0,01
000000000000000004;900;10010;1001001200;100100120001500;61,91
000000000000000008;900;10010;1001001200;100100120001500;608,84
000000000000000009;900;10040;1004001300;100400130001100;670,90
000000000000000010;900;10010;1001001200;100100120001100;72,61
000000000000000011;900;10010;1001001200;100100120001300;17,35
000000000000000013;900;10040;1004001300;100400130001100;2,58
000000000000000015;900;10010;1001001200;100100120001300;2,40
000000000000000016;900;10010;1001001200;100100120001100;138,46
000000000000000019;900;10010;1001001200;100100120001500;838,87
000000000000000020;900;10040;1004001300;100400130001100;1 915,62
000000000000000021;900;10010;1001001200;100100120001100;906,05
000000000000000022;900;10010;1001001200;100100120001300;252,94
000000000000000026;900;10010;1001001200;100100120001600;152,52
000000000000000027;900;10040;1004001300;100400130001200;2 604,90
000000000000000028;900;10010;1001001200;100100120001200;1 326,61
000000000000000029;900;10010;1001001200;100100120001400;351,55
000000000000000030;900;10010;1001001200;100100120001500;52,66
000000000000000033;925;10330;1033001100;103300110001100;1,68
000000000000000036;900;10010;1001001300;100100130001500;1 987,03
000000000000000037;900;10040;1004001600;100400160001100;48,32
000000000000000038;900;10010;1001001300;100100130001100;271,48
000000000000000039;900;10010;1001001300;100100130001300;1,95
000000000000000043;900;10010;1001001300;100100130001500;2 211,26
000000000000000044;900;10010;1001001300;100100130001100;1,30
000000000000000045;900;10010;1001001300;100100130001300;0,77
000000000000000049;900;10010;1001001300;100100130001500;5,24
000000000000000052;900;10040;1004001600;100400160001100;1 243,04
000000000000000053;900;10010;1001001300;100100130001100;2 734,13
000000000000000054;900;10010;1001001300;100100130001500;20,01
000000000000000063;900;10010;1001001300;100100130001500;0,79
000000000000000064;900;10010;1001001300;100100130001500;7 386,13
000000000000000065;900;10040;1004001600;100400160001100;11 386,24
000000000000000066;900;10010;1001001300;100100130001100;10 819,89
000000000000000067;900;10010;1001001300;100100130001300;1 734,36
000000000000000073;900;10010;1001001300;100100130001100;5,51
000000000000000076;900;10040;1004001600;100400160001100;13,39
000000000000000080;900;10010;1001001300;100100130001600;744,45
000000000000000081;900;10040;1004001600;100400160001200;7 520,05
000000000000000082;900;10010;1001001300;100100130001200;7 247,68
000000000000000083;900;10010;1001001300;100100130001400;4 118,41
000000000000000084;900;10010;1001001300;100100130001500;9,90
000000000000000085;900;10040;1004001600;100400160001100;0,04
000000000000000087;900;10010;1001001300;100100130001500;143,86
000000000000000088;900;10040;1004001600;100400160001100;100,28
000000000000000089;900;10010;1001001300;100100130001100;32,29
000000000000000091;925;10330;1033001100;103300110001100;19,29
000000000000000100;900;10010;1001001400;100100140001600;38,33
000000000000000101;900;10010;1001001400;100100140001600;24 599,71
000000000000000104;900;10040;1004001900;100400190001100;14 549,97
000000000000000105;900;10010;1001001400;100100140001100;31 076,71
000000000000000106;900;10010;1001001400;100100140001300;667,02
000000000000000111;900;10010;1001001400;100100140001600;20 539,25
000000000000000112;900;10040;1004001900;100400190001100;3 013,00
000000000000000113;900;10010;1001001400;100100140001100;1 745,30
000000000000000114;900;10010;1001001400;100100140001300;59,01
000000000000000119;900;10010;1001001400;100100140001600;0,16
000000000000000121;900;10010;1001001400;100100140001600;7,31
000000000000000124;900;10010;1001001400;100100140001600;1,92
000000000000000125;900;10040;1004001900;100400190001100;888,98
000000000000000137;900;10010;1001001400;100100140001600;812,16
000000000000000138;900;10040;1004001900;100400190001100;3 159,24
000000000000000139;900;10010;1001001400;100100140001100;64,61
000000000000000140;900;10010;1001001400;100100140001300;152,89
000000000000000145;900;10040;1004001900;100400190001100;18,39
000000000000000149;900;10010;1001001400;100100140001700;64,74
000000000000000150;900;10040;1004001900;100400190001200;3 683,46
000000000000000151;900;10010;1001001400;100100140001200;5 927,76
000000000000000152;900;10010;1001001400;100100140001400;1 028,07
000000000000000154;900;10010;1001001400;100100140001600;304,25
000000000000000156;900;10010;1001001400;100100140001800;0,20
000000000000000157;900;10040;1004001900;100400190001100;2,27
000000000000000158;900;10010;1001001400;100100140001100;24,45
000000000000000160;900;10010;1001001400;100100140001600;27,63
000000000000000164;925;10330;1033001100;103300110001100;18,00
000000000000000171;900;10010;1001001500;100100150001500;298,36
000000000000000172;900;10010;1001001500;100100150001500;36 815,11
000000000000000176;900;10040;1004002100;100400210001100;14 456,78
000000000000000177;900;10010;1001001500;100100150001100;109 749,28
000000000000000178;900;10010;1001001500;100100150001300;2 316,37
000000000000000182;900;10010;1001001500;100100150001500;24 318,54
000000000000000183;900;10010;1001001500;100100150001100;4 603,86
