Материал название,Материал номер,Иерархия 0 уровень,Иерархия 0 номер,Иерархия 1 уровень,Иерархия 2 уровень,Иерархия 3 уровень,Материал. Признак 1,Материал. Признак 10,Материал. Признак 2,Материал. Признак 3,Материал. Признак 4,Материал. Признак 5,Материал. Признак 6,Материал. Признак 7,Материал. Признак 8,Материал. Признак 9,Материал. Размер 1,Материал. Размер 10,Материал. Размер 11,Материал. Размер 12,Материал. Размер 2,Материал. Размер 3,Материал. Размер 4,Материал. Размер 5,Материал. Размер 6,Материал. Размер 7,Материал. Размер 8,Материал. Размер 9
АССОРТИМЕНТ ТР ПРОФ,000000000000005226,Труба,915,10220,1022006800,102200680001100,##,##,##,##,##,##,##,##,##,##,##,##,##,##,ТР,ПРОФ,##,##,##,##,##,##
АССОРТИМЕНТ ТР Э/С,000000000000005227,Труба,915,10230,1023007600,102300760001100,##,##,##,##,##,##,##,##,##,##,##,##,##,##,ТР,Э/С,##,##,##,##,##,##
ТР БШ 8 НЕКОНД,000000000000006676,Прочие ТМП,925,10330,1033003100,103300310001100,##,НЕКОНД,##,##,##,##,##,##,##,##,8,##,##,##,##,##,##,##,##,##,##,##
ТР БШ 8 1 ГОСТ,000000000000006677,Труба,915,10190,1019001100,101900110001100,##,##,##,##,##,##,##,##,##,ГОСТ,8,##,##,##,##,##,##,##,##,1,##,##
ТР БШ 12 НЕКОНД,000000000000006678,Прочие ТМП,925,10330,1033003100,103300310001100,##,НЕКОНД,##,##,##,##,##,##,##,##,12,##,##,##,##,##,##,##,##,##,##,##
ТР БШ 12 1 ГОСТ,000000000000006679,Труба,915,10190,1019001200,101900120001100,##,##,##,##,##,##,##,##,##,ГОСТ,12,##,##,##,##,##,##,##,##,1,##,##
ТР БШ 14 НЕКОНД,000000000000006680,Прочие ТМП,925,10330,1033003100,103300310001100,##,НЕКОНД,##,##,##,##,##,##,##,##,14,##,##,##,##,##,##,##,##,##,##,##
ТР БШ 14 2 ГОСТ,000000000000006681,Труба,915,10190,1019001300,101900130001100,##,##,##,##,##,##,##,##,##,ГОСТ,14,##,##,##,##,##,##,##,##,2,##,##
ТР БШ 15 НЕКОНД,000000000000006682,Прочие ТМП,925,10330,1033003100,103300310001100,##,НЕКОНД,##,##,##,##,##,##,##,##,15,##,##,##,##,##,##,##,##,##,##,##
ТР БШ 15 2.8 ГОСТ,000000000000006683,Труба,915,10190,1019001400,101900140001100,##,##,##,##,##,##,##,##,##,ГОСТ,15,##,##,##,##,##,##,##,##,2.8,##,##
ТР БШ 16 НЕКОНД,000000000000006684,Прочие ТМП,925,10330,1033003100,103300310001100,##,НЕКОНД,##,##,##,##,##,##,##,##,16,##,##,##,##,##,##,##,##,##,##,##
